time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c
2025-09-22T21:18:22.421817,-8.27,-0.63,-5.64,0.05,0.03,0.0,29.69
2025-09-22T21:18:22.524281,-8.28,-0.64,-5.64,0.04,0.03,-0.0,29.69
2025-09-22T21:18:22.627267,-8.29,-0.68,-5.64,0.06,0.02,-0.01,29.69
2025-09-22T21:18:22.728959,-8.3,-0.62,-5.62,0.05,0.03,-0.0,29.67
2025-09-22T21:18:22.833273,-8.29,-0.65,-5.62,0.04,0.03,0.0,29.69
2025-09-22T21:18:22.935749,-8.26,-0.68,-5.63,0.05,0.03,-0.0,29.68
2025-09-22T21:18:23.038762,-8.28,-0.64,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:23.141766,-8.26,-0.67,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:23.259282,-8.27,-0.64,-5.65,0.05,0.03,-0.0,29.66
2025-09-22T21:18:23.348280,-8.29,-0.63,-5.65,0.04,0.03,-0.0,29.68
2025-09-22T21:18:23.450565,-8.28,-0.65,-5.64,0.04,0.03,-0.0,29.66
2025-09-22T21:18:23.553680,-8.27,-0.65,-5.64,0.05,0.03,-0.0,29.68
2025-09-22T21:18:23.681994,-8.3,-0.61,-5.64,0.05,0.03,0.0,29.67
2025-09-22T21:18:23.759112,-8.25,-0.67,-5.66,0.04,0.03,0.0,29.67
2025-09-22T21:18:23.862794,-8.27,-0.67,-5.65,0.06,0.03,-0.0,29.65
2025-09-22T21:18:23.971545,-8.27,-0.59,-5.6,0.03,0.05,0.01,29.68
2025-09-22T21:18:24.069261,-8.25,-0.74,-5.67,0.05,0.03,-0.0,29.7
2025-09-22T21:18:24.174787,-8.35,-0.54,-5.59,0.05,0.02,-0.02,29.68
2025-09-22T21:18:24.277197,-8.27,-0.69,-5.63,0.04,0.03,0.0,29.69
2025-09-22T21:18:24.378760,-8.28,-0.65,-5.65,0.06,0.02,-0.0,29.67
2025-09-22T21:18:24.485774,-8.27,-0.64,-5.63,0.04,0.04,0.0,29.67
2025-09-22T21:18:24.589487,-8.27,-0.67,-5.64,0.05,0.03,-0.0,29.67
2025-09-22T21:18:24.688789,-8.26,-0.62,-5.64,0.05,0.03,-0.0,29.68
2025-09-22T21:18:24.790847,-8.26,-0.65,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:24.893246,-8.28,-0.66,-5.65,0.05,0.03,-0.0,29.69
2025-09-22T21:18:24.994460,-8.29,-0.62,-5.68,0.04,0.04,0.0,29.69
2025-09-22T21:18:25.099389,-8.26,-0.66,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:25.202245,-8.29,-0.63,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:25.305784,-8.28,-0.66,-5.67,0.05,0.03,-0.0,29.69
2025-09-22T21:18:25.408507,-8.27,-0.64,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:25.512287,-8.29,-0.63,-5.65,0.04,0.04,0.0,29.68
2025-09-22T21:18:25.615257,-8.25,-0.67,-5.63,0.04,0.03,-0.0,29.69
2025-09-22T21:18:25.722317,-8.28,-0.62,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:25.821288,-8.28,-0.62,-5.65,0.04,0.03,-0.0,29.66
2025-09-22T21:18:25.941840,-8.26,-0.7,-5.67,0.05,0.03,-0.0,29.69
2025-09-22T21:18:26.027235,-8.26,-0.64,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:26.128819,-8.31,-0.65,-5.65,0.04,0.03,-0.0,29.67
2025-09-22T21:18:26.235634,-8.28,-0.62,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:26.336756,-8.27,-0.68,-5.65,0.05,0.03,-0.0,29.66
2025-09-22T21:18:26.438773,-8.27,-0.62,-5.65,0.05,0.03,0.0,29.69
2025-09-22T21:18:26.541560,-8.26,-0.65,-5.64,0.04,0.03,0.0,29.69
2025-09-22T21:18:26.645233,-8.26,-0.66,-5.68,0.05,0.03,-0.0,29.68
2025-09-22T21:18:26.748751,-8.26,-0.62,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:26.852329,-8.27,-0.66,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:26.954228,-8.27,-0.64,-5.65,0.05,0.03,0.0,29.67
2025-09-22T21:18:27.056720,-8.27,-0.67,-5.66,0.04,0.03,0.0,29.67
2025-09-22T21:18:27.159071,-8.27,-0.66,-5.64,0.05,0.03,0.0,29.69
2025-09-22T21:18:27.263308,-8.27,-0.64,-5.62,0.04,0.03,-0.0,29.68
2025-09-22T21:18:27.366423,-8.26,-0.66,-5.65,0.05,0.03,-0.0,29.68
2025-09-22T21:18:27.469284,-8.29,-0.62,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:27.572273,-8.29,-0.66,-5.65,0.04,0.03,0.0,29.68
2025-09-22T21:18:27.674957,-8.28,-0.67,-5.63,0.05,0.03,-0.0,29.68
2025-09-22T21:18:27.799412,-8.29,-0.64,-5.62,0.05,0.03,0.0,29.69
2025-09-22T21:18:27.881234,-8.27,-0.64,-5.66,0.05,0.03,0.0,29.67
